# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 1 589 330 11782 977
p 2 0 392 528 1166 534
p 2 0 204 716 532 350
p 2 51 687 182 25486 1737
p 2 0 413 507 1394 594
p 2 0 261 659 637 409
p 2 67 676 177 27298 1782
p 2 0 501 419 1593 673
p 2 0 266 654 658 409
p 2 71 748 101 28317 1931
p 2 0 581 339 1815 764
p 2 22 789 109 28444 1906
p 2 0 544 376 1739 720
p 2 6 788 126 21725 1569
p 2 0 576 344 1849 750
p 2 0 304 616 731 449
p 2 8 782 130 23580 1602
p 2 0 564 356 1800 733
p 2 0 312 608 768 456
p 2 7 762 151 22202 1563
p 2 0 544 376 1853 735
p 2 0 299 621 698 436
p 2 19 750 151 23539 1573
p 2 0 522 398 1674 690
p 2 0 338 582 768 465
i 2 920 0 0 45341 3990
p 2 0 542 378 1415 666
p 2 0 685 235 3038 801
p 2 0 664 256 3938 794
p 2 0 668 252 4351 791
p 2 0 631 289 4575 776
p 2 0 626 294 4418 772
p 2 0 631 289 4828 789
p 2 0 654 266 5074 818
p 2 0 649 271 5136 810
p 2 0 622 298 4982 790
p 2 0 624 296 4768 786
p 2 0 642 278 5248 818
p 2 0 639 281 5312 818
p 2 0 634 286 5190 808
p 2 0 628 292 5198 810
p 2 0 641 279 4844 815
p 2 0 663 257 5355 848
p 2 0 637 283 5326 824
p 2 0 629 291 5341 816
p 2 0 639 281 5212 831
i 2 920 0 0 18061 3645
p 2 0 588 332 970 738
p 2 0 522 398 772 656
p 2 0 374 546 576 499
p 2 0 329 591 538 464
p 2 0 267 653 455 390
p 2 0 275 645 753 399
p 2 0 216 704 402 342
p 2 0 210 710 390 344
p 2 0 194 726 679 326
p 2 0 163 757 345 300
p 2 0 232 688 1039 358
p 2 0 195 725 393 328
p 2 0 190 730 394 330
p 2 0 116 804 723 268
p 2 0 156 764 332 290
p 2 0 217 703 1471 364
p 2 0 177 743 395 302
p 2 1 140 779 983 307
p 2 0 99 821 964 264
p 2 0 130 790 379 270
p 2 0 174 746 1008 323
p 2 0 144 776 348 280
p 2 0 114 806 781 275
p 2 1 83 836 779 248
p 2 0 85 835 287 238
p 2 0 170 750 898 315
p 2 0 105 815 924 264
p 2 0 111 809 292 254
p 2 1 112 807 944 270
p 2 0 108 812 288 248
p 2 1 54 865 755 220
p 2 0 87 833 756 252
p 2 0 165 755 786 307
i 2 920 0 0 22526 3668
p 2 0 495 425 980 612
p 2 0 467 453 973 598
p 2 2 617 301 11559 1173
p 2 1 508 411 1342 670
p 2 0 368 552 936 514
p 2 3 564 353 11514 1101
p 2 0 444 476 1242 604
p 2 0 366 554 821 494
p 2 31 575 314 17257 1460
p 2 0 457 463 1370 634
p 2 1 329 590 858 481
p 2 57 549 314 17985 1535
p 2 0 408 512 1341 577
