# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 596 324 741 698
p 2 85 456 379 4308 992
p 2 0 472 448 645 578
p 2 0 399 521 560 496
p 2 195 400 325 16791 1763
p 2 0 331 589 632 450
p 2 0 314 606 527 438
p 2 222 328 370 21882 1916
p 2 0 339 581 759 465
p 2 0 303 617 567 424
p 2 231 475 214 24695 2170
p 2 0 410 510 977 552
p 2 0 336 584 592 452
p 2 1 434 485 6798 750
p 2 0 312 608 737 451
p 2 0 201 719 466 348
p 2 0 396 524 7154 706
p 2 0 358 562 879 495
p 2 0 276 644 539 396
p 2 1 299 620 1034 448
p 2 0 181 739 460 324
p 2 0 156 764 361 295
p 2 0 145 775 694 299
p 2 0 177 743 445 317
p 2 0 182 738 421 313
p 2 0 235 685 646 381
p 2 0 136 784 387 278
p 2 0 152 768 374 291
p 2 3 150 767 834 316
p 2 0 118 802 337 263
p 2 0 157 763 348 287
p 2 0 105 815 481 262
p 2 0 91 829 272 232
p 2 0 127 793 316 266
p 2 0 153 767 656 295
p 2 0 131 789 331 266
p 2 0 116 804 309 255
p 2 0 100 820 395 259
p 2 0 54 866 232 206
p 2 0 135 785 323 272
p 2 1 86 833 629 246
p 2 0 102 818 267 238
p 2 0 93 827 256 231
p 2 0 125 795 611 274
p 2 0 101 819 278 241
p 2 0 101 819 281 246
p 2 49 452 419 20024 1377
p 2 0 371 549 1028 512
p 2 0 285 635 581 404
p 2 43 452 425 23891 1370
p 2 0 414 506 1137 567
p 2 0 202 718 512 345
p 2 62 462 396 24124 1460
p 2 0 410 510 1118 555
p 2 0 268 652 579 398
p 2 27 484 409 20736 1229
p 2 0 322 598 1031 476
p 2 0 237 683 553 375
p 2 28 482 410 22124 1283
p 2 0 352 568 1117 514
p 2 0 320 600 832 458
p 2 2 299 619 1051 438
p 2 0 164 756 425 301
p 2 0 200 720 453 329
p 2 0 189 731 800 339
p 2 0 163 757 409 296
p 2 0 124 796 397 271
p 2 0 182 738 658 321
p 2 0 99 821 340 247
p 2 0 101 819 287 240
p 2 0 48 872 547 214
p 2 0 100 820 324 247
p 2 0 86 834 299 233
p 2 0 64 856 262 214
p 2 0 69 851 247 214
p 2 0 55 865 237 206
p 2 0 69 851 225 212
p 2 0 29 891 192 182
p 2 0 42 878 210 192
p 2 0 68 852 230 212
p 2 0 56 864 216 202
i 2 920 0 0 49894 3465
